date,categoryName,payee,comment,createdDate,changedDate,outcomeAccountName,outcome,outcomeCurrencyShortTitle
2023-03-17,Кафе и рестораны,Столовая лицея,,2023-03-17 12:18:04,2023-03-17 09:18:10,Тинькофф,175.0,RUB
2023-03-17,Продукты / Сладости,,Купил конфеты Нильс,2023-03-17 20:38:41,2023-03-17 17:38:49,Тинькофф,62.6,RUB
2023-03-18,Продукты,,Купил сухой завтрак  (50 рублей оплатил баллами),2023-03-18 16:07:54,2023-03-18 13:08:01,Тинькофф,167.0,RUB
2023-03-18,Продукты / Сладости,,Купил пудинг и конфеты,2023-03-18 16:08:50,2023-03-18 13:08:55,Тинькофф,214.0,RUB
2023-03-19,Кафе и рестораны,ДоДо пицца,Заказал пиццу на ужин (Скинулись с друзьями),2023-03-19 17:32:21,2023-03-19 14:32:28,Тинькофф,342.0,RUB
2023-03-19,"Платежи, комиссии / Оплата связи",,,2023-03-19 20:05:44,2023-03-19 17:05:52,Тинькофф,323.0,RUB
2023-03-20,Кафе и рестораны / Кофейни,,Взял кофе в автомате,2023-03-20 10:33:25,2023-03-20 07:33:33,Тинькофф,100.0,RUB
2023-03-21,Образование / Канцелярия,,,2023-03-21 17:55:53,2023-03-21 14:55:58,Тинькофф,248.0,RUB
2023-03-23,Образование,,Подписка на Правое полушарие интроверта,2023-03-23 17:59:33,2023-03-23 14:59:41,Тинькофф,299.0,RUB
2023-03-24,Кафе и рестораны,Столовая лицея,,2023-03-24 08:35:49,2023-03-24 05:36:09,Тинькофф,120.0,RUB
2023-03-24,Кафе и рестораны,Столовая лицея,Обед,2023-03-24 12:42:21,2023-03-24 09:42:27,Тинькофф,185.0,RUB
2023-03-24,Продукты,,Купил булочку и молоко,2023-03-24 20:05:57,2023-03-24 17:06:42,Тинькофф,194.5,RUB
2023-03-24,Продукты / Сладости,,,2023-03-24 20:06:32,2023-03-24 17:06:42,Тинькофф,238.49,RUB
2023-03-25,Проезд,,,2023-03-25 08:36:40,2023-03-25 05:36:45,Тинькофф,28.0,RUB
2023-03-25,Кафе и рестораны,Столовая лицея,,2023-03-25 18:42:11,2023-03-25 15:42:39,Тинькофф,170.0,RUB
2023-03-26,Проезд,,,2023-03-26 12:45:26,2023-03-26 09:45:28,Тинькофф,28.0,RUB
2023-03-26,Продукты / Сладости,,Купил чипсы,2023-03-26 15:02:06,2023-03-26 12:02:12,Тинькофф,300.0,RUB
2023-03-27,Кафе и рестораны,Столовая лицея,,2023-03-28 11:14:26,2023-03-28 08:14:32,Тинькофф,200.0,RUB
2023-03-28,"Покупки: одежда, техника",,Аккаунты gmail,2023-03-28 11:28:55,2023-03-28 08:29:02,Тинькофф,91.58,RUB
2023-03-28,Здоровье и фитнес,Аптека,Купил лекарства экстренно ,2023-03-28 22:47:50,2023-03-28 19:47:54,Тинькофф,2083.0,RUB
2023-03-28,Кафе и рестораны,Столовая лицея,,2023-03-28 22:48:20,2023-03-28 19:48:25,Тинькофф,170.0,RUB
2023-03-30,Продукты / Сладости,,,2023-03-31 12:05:21,2023-03-31 09:05:29,Тинькофф,218.75,RUB
2023-03-31,Продукты / Сладости,,,2023-03-31 19:15:24,2023-03-31 16:15:28,Тинькофф,333.0,RUB
