iter	MAE	Quantile:alpha=0.5
0	422.7876079	211.3938039
1	422.2249135	211.1124568
2	421.5732068	210.7866034
3	420.8558821	210.427941
4	420.1828213	210.0914106
5	419.590419	209.7952095
6	418.8615357	209.4307678
7	418.2523573	209.1261787
8	417.621362	208.810681
9	416.8722554	208.4361277
10	416.4937675	208.2468838
11	415.8987058	207.9493529
12	415.3371073	207.6685536
13	414.6720842	207.3360421
14	414.104301	207.0521505
15	413.8089301	206.9044651
16	413.2381479	206.6190739
17	412.7332798	206.3666399
18	412.2139205	206.1069602
19	411.649792	205.824896
20	411.3436916	205.6718458
21	410.9543198	205.4771599
22	410.4301196	205.2150598
23	410.0479269	205.0239634
24	409.3155151	204.6577575
25	408.8617461	204.430873
26	408.5447981	204.2723991
27	408.0168793	204.0084396
28	407.3607418	203.6803709
29	406.8946306	203.4473153
30	406.4175075	203.2087537
31	406.1038333	203.0519167
32	405.8352152	202.9176076
33	405.4218784	202.7109392
34	405.0975911	202.5487955
35	404.6483776	202.3241888
36	404.2016942	202.1008471
37	403.5268334	201.7634167
38	403.0986537	201.5493268
39	402.6180281	201.3090141
40	402.1940484	201.0970242
41	401.6314253	200.8157126
42	401.2006577	200.6003289
43	400.7804746	200.3902373
44	400.3848926	200.1924463
45	400.009037	200.0045185
46	399.472681	199.7363405
47	399.1404032	199.5702016
48	398.7979032	199.3989516
49	398.1962058	199.0981029
50	397.8536643	198.9268322
51	397.4607336	198.7303668
52	397.1683174	198.5841587
53	396.9801298	198.4900649
54	396.6052595	198.3026298
55	396.2067326	198.1033663
56	395.836546	197.918273
57	395.4881811	197.7440906
58	395.2461873	197.6230937
59	394.8297512	197.4148756
60	394.5386352	197.2693176
61	394.2367793	197.1183896
62	393.9257505	196.9628752
63	393.4088539	196.7044269
64	392.8922583	196.4461291
65	392.6012446	196.3006223
66	392.3145847	196.1572923
67	391.9581911	195.9790956
68	391.7770615	195.8885307
69	391.1735426	195.5867713
70	390.8857763	195.4428882
71	390.3775943	195.1887972
72	390.0482439	195.024122
73	389.7635574	194.8817787
74	389.4564513	194.7282256
75	389.2096588	194.6048294
76	388.9516573	194.4758287
77	388.6802604	194.3401302
78	388.4308305	194.2154153
79	387.9585347	193.9792673
80	387.7013729	193.8506865
81	387.2407971	193.6203985
82	386.9706269	193.4853134
83	386.6982263	193.3491131
84	386.404014	193.202007
85	386.1863784	193.0931892
86	385.9107779	192.955389
87	385.5927212	192.7963606
88	385.2220412	192.6110206
89	385.0014406	192.5007203
90	384.7489007	192.3744504
91	384.3122028	192.1561014
92	384.1388462	192.0694231
93	383.8096963	191.9048481
94	383.5875692	191.7937846
95	383.3466303	191.6733152
96	383.1707176	191.5853588
97	382.8167366	191.4083683
98	382.5101896	191.2550948
99	382.2518386	191.1259193
100	382.0282907	191.0141454
101	381.8326802	190.9163401
102	381.6201048	190.8100524
103	381.4171062	190.7085531
104	381.2744361	190.637218
105	381.0707783	190.5353892
106	380.8149951	190.4074975
107	380.5874317	190.2937159
108	380.3840852	190.1920426
109	380.1992893	190.0996446
110	379.9971859	189.998593
111	379.7423423	189.8711712
112	379.485215	189.7426075
113	379.3025279	189.651264
114	379.0404015	189.5202008
115	378.8472922	189.4236461
116	378.617543	189.3087715
117	378.4749531	189.2374765
118	378.3086064	189.1543032
119	378.1094745	189.0547373
120	377.8422524	188.9211262
121	377.6400391	188.8200195
122	377.4320259	188.7160129
123	377.3908685	188.6954343
124	377.1649586	188.5824793
125	376.9411665	188.4705833
126	376.7527803	188.3763901
127	376.5833226	188.2916613
128	376.3411159	188.1705579
129	376.1008922	188.0504461
130	375.977655	187.9888275
131	375.8078356	187.9039178
132	375.5319451	187.7659725
133	375.2741716	187.6370858
134	375.1411789	187.5705894
135	374.878842	187.439421
136	374.7680907	187.3840454
137	374.5637483	187.2818742
138	374.3821781	187.1910891
139	374.250806	187.125403
140	374.0909865	187.0454932
141	373.9288101	186.964405
142	373.7291161	186.8645581
143	373.5284687	186.7642343
144	373.4135738	186.7067869
145	373.2400121	186.6200061
146	373.0318076	186.5159038
147	372.8884116	186.4442058
148	372.7589871	186.3794936
149	372.6159034	186.3079517
150	372.2386058	186.1193029
151	372.1382592	186.0691296
152	372.0151942	186.0075971
153	371.8610569	185.9305285
154	371.7096392	185.8548196
155	371.6008075	185.8004037
156	371.4617652	185.7308826
157	371.3856225	185.6928113
158	371.2892808	185.6446404
159	371.1564902	185.5782451
160	370.9899397	185.4949698
161	370.8749275	185.4374637
162	370.6842388	185.3421194
163	370.5166887	185.2583444
164	370.4283773	185.2141887
165	370.2234208	185.1117104
166	369.9962488	184.9981244
167	369.9154918	184.9577459
168	369.7089986	184.8544993
169	369.5702529	184.7851265
170	369.4186073	184.7093036
171	369.2779714	184.6389857
172	369.0136535	184.5068267
173	368.9180906	184.4590453
174	368.7527251	184.3763626
175	368.5958208	184.2979104
176	368.2505354	184.1252677
177	368.1158642	184.0579321
178	367.9580513	183.9790256
179	367.8479694	183.9239847
180	367.7297379	183.8648689
181	367.6427154	183.8213577
182	367.5455505	183.7727753
183	367.2111707	183.6055853
184	367.084735	183.5423675
185	367.0141255	183.5070627
186	366.9218331	183.4609165
187	366.7337035	183.3668518
188	366.6236711	183.3118355
189	366.4645877	183.2322938
190	366.3843345	183.1921672
191	366.1811857	183.0905928
192	366.0014852	183.0007426
193	365.759768	182.879884
194	365.6585176	182.8292588
195	365.4864291	182.7432145
196	365.4081677	182.7040838
197	365.0968566	182.5484283
198	365.0419873	182.5209936
199	364.9506796	182.4753398
200	364.8432032	182.4216016
201	364.7778354	182.3889177
202	364.7118941	182.355947
203	364.5912937	182.2956469
204	364.496385	182.2481925
205	364.3758858	182.1879429
206	364.2906791	182.1453395
207	364.1676318	182.0838159
208	364.1310685	182.0655343
209	364.0512047	182.0256023
210	363.9490257	181.9745128
211	363.8538087	181.9269043
212	363.7679267	181.8839634
