iter	Passed	Remaining
0	48	4827694
1	51	2572335
2	53	1774332
3	55	1378330
4	56	1134260
5	58	973258
6	60	859000
7	61	770904
8	63	704313
9	64	641574
10	64	586795
11	66	553127
12	68	524858
13	69	499840
14	71	477418
15	72	456023
16	74	437287
17	75	420394
18	77	405595
19	78	391616
20	78	374694
21	80	364201
22	81	355290
23	83	346083
24	84	337904
25	86	331063
26	87	323839
27	88	317041
28	93	321801
29	95	317124
30	96	311633
31	98	306645
32	98	298963
33	100	295688
34	101	288660
35	102	284659
36	104	281023
37	105	277401
38	106	274181
39	108	271834
40	110	268784
41	111	265863
42	113	263044
43	114	260651
44	116	258671
45	117	256193
46	119	253490
47	120	250938
48	121	248625
49	123	246563
50	124	244461
51	126	242265
52	126	239349
53	128	237233
54	129	235266
55	130	233489
56	132	231679
57	133	229959
58	134	228652
59	136	227213
60	137	225935
61	139	224724
62	140	223411
63	142	222128
64	143	220893
65	145	220054
66	146	218940
67	148	217718
68	148	215371
69	150	214345
70	151	213227
71	152	212345
72	154	211302
73	155	210383
74	157	209434
75	158	208872
76	160	208453
77	162	207572
78	163	206730
79	164	205815
80	166	204849
81	167	204060
82	168	203129
83	170	202405
84	171	201819
85	173	201159
86	174	200365
87	175	199575
88	177	198837
89	178	198123
90	179	197599
91	181	197178
92	183	196707
93	184	196309
94	186	196341
95	188	195876
96	189	195461
97	191	195078
98	192	194646
99	194	194355
100	196	194214
101	198	194194
102	199	193699
103	201	193561
104	202	193111
105	204	192608
106	205	192092
107	207	191600
108	208	191091
109	209	190660
110	211	190268
111	213	190184
112	214	189669
113	215	189169
114	217	188710
115	218	188281
116	220	187845
117	220	187038
118	222	186662
119	223	186139
120	225	185983
121	226	185769
122	228	185429
123	228	184335
124	230	184058
125	231	183755
126	233	183435
127	234	183054
128	235	182707
129	237	182416
130	238	182025
131	240	181749
132	242	181870
133	243	181683
134	245	181407
135	246	181122
136	248	180794
137	249	180450
138	250	180133
139	252	179855
140	253	179636
141	255	179443
142	256	179379
143	258	179481
144	260	179255
145	261	178970
146	263	178856
147	265	178912
148	266	178719
149	268	178480
150	269	178372
151	271	178359
152	273	178191
153	274	177995
154	276	177906
155	277	177848
156	279	177774
157	280	177163
158	282	177146
159	283	176922
160	285	176743
161	286	176595
162	288	176494
163	289	176443
164	291	176296
165	292	176079
166	294	175847
167	294	175203
168	296	175019
169	297	174802
170	299	174687
171	300	174561
172	302	174427
173	303	174287
174	305	174076
175	306	173949
176	308	174008
177	310	173970
178	311	173829
179	313	173813
180	314	173673
181	317	173869
182	318	173745
183	320	173600
184	321	173419
185	322	173284
186	324	173105
187	325	172994
188	327	172787
189	328	172615
190	330	172518
191	331	172323
192	332	172176
193	334	172145
194	336	172023
195	337	171988
196	339	172062
197	341	171910
198	342	171772
199	344	171715
200	345	171553
201	346	171434
202	348	171246
203	349	171110
204	351	171015
205	352	170962
206	354	170841
207	355	170718
208	356	170092
209	357	169919
210	359	169827
211	360	169736
212	362	169658
213	363	169556
214	364	169118
215	366	169140
216	367	169141
217	369	169001
218	370	168895
219	371	168696
220	372	168370
221	374	168252
222	375	168095
223	377	167929
224	378	167833
225	379	167745
226	381	167642
227	382	167436
228	384	167487
229	385	167393
230	387	167244
231	388	167142
232	390	167150
233	391	167022
234	393	166871
235	394	166708
236	395	166570
237	396	166051
238	397	165940
239	398	165809
240	400	165772
241	402	165745
242	403	165612
243	404	165524
244	406	165364
245	408	165498
246	409	165397
247	410	165292
248	412	165128
249	413	164992
250	414	164909
251	415	164485
252	416	164368
253	418	164212
254	419	164089
255	420	164021
256	422	163934
257	423	163832
258	425	163709
259	426	163594
260	427	163470
261	429	163412
262	431	163466
263	432	163470
264	434	163346
265	435	163293
266	436	163144
267	438	163044
268	439	163027
269	440	162683
270	441	162619
271	443	162536
272	444	162429
273	445	162314
274	447	162220
275	448	162151
276	449	161711
277	450	161729
278	452	161613
279	452	161294
280	454	161245
281	455	161141
282	457	161117
283	457	160696
284	459	160608
285	460	160577
286	462	160763
287	464	160697
288	465	160621
289	466	160545
290	468	160483
291	469	160390
292	471	160301
293	472	160210
294	473	160082
295	474	159960
296	475	159632
297	476	159564
298	478	159542
299	479	159233
300	480	159161
301	481	158808
302	482	158752
303	483	158645
304	484	158349
305	485	158281
306	487	158178
307	488	158082
308	489	158013
309	491	157917
310	492	157850
311	493	157792
312	494	157512
313	496	157492
314	496	157159
315	498	157201
316	499	157141
317	501	157133
318	502	157074
319	503	156977
320	505	156889
321	506	156661
322	507	156567
323	508	156512
324	509	156393
325	511	156287
326	512	156218
327	513	156180
328	515	156115
329	516	156091
330	518	156054
331	519	155986
332	521	155952
333	522	155896
334	523	155860
335	525	155840
336	526	155794
337	528	155722
338	530	155813
339	531	155797
340	532	155730
341	534	155644
342	535	155570
343	536	155469
344	538	155414
345	539	155418
346	540	155206
347	542	155255
348	543	155233
349	545	155173
350	546	155103
351	547	155028
352	548	154942
353	550	154944
354	552	154952
355	553	154969
356	555	154948
357	556	154784
358	557	154792
359	558	154548
360	559	154486
361	561	154512
362	562	154488
363	564	154503
364	565	154472
365	566	154152
366	567	154083
367	569	154134
368	570	154158
369	572	154120
370	573	154054
371	574	153963
372	576	153944
373	577	153929
374	579	153901
375	580	153923
376	582	153912
377	583	153874
378	585	153892
379	586	153821
380	588	153762
381	589	153683
382	589	153371
383	591	153350
384	592	153293
385	593	153075
386	594	152939
387	595	152891
388	596	152825
389	598	152813
390	599	152785
391	601	152744
392	602	152706
393	603	152665
394	605	152625
395	606	152587
396	607	152294
397	608	152236
398	609	152174
399	611	152166
400	612	152106
401	613	151977
402	614	151952
403	616	151899
404	617	151852
405	618	151774
406	620	151724
407	621	151713
408	623	151712
409	624	151812
410	626	151776
411	627	151697
412	628	151628
413	630	151551
414	631	151497
415	632	151525
416	634	151509
417	635	151474
418	637	151500
419	638	151472
420	640	151438
421	641	151374
422	642	151343
423	644	151318
424	645	151313
425	647	151303
426	648	151285
427	650	151299
428	651	151286
429	653	151284
430	654	151102
431	655	151060
432	656	151066
433	658	151047
434	660	151116
435	661	151068
436	662	150994
437	664	150938
438	665	150951
439	666	150904
440	668	150880
441	669	150846
442	671	150819
443	672	150773
444	673	150769
445	675	150778
446	677	150856
447	678	150844
448	680	150793
449	681	150775
450	682	150749
451	684	150719
452	685	150697
453	686	150516
454	687	150472
455	689	150446
456	690	150471
457	692	150417
458	694	150516
459	695	150491
460	696	150447
461	698	150437
462	699	150404
463	701	150399
464	701	150207
465	702	150150
466	704	150139
467	705	150096
468	707	150077
469	708	150069
470	710	150036
471	711	149990
472	712	149951
473	714	149924
474	715	149915
475	717	149922
476	718	149861
477	719	149851
478	721	149846
479	721	149652
480	723	149621
481	724	149569
482	725	149534
483	727	149481
484	728	149428
485	729	149419
486	730	149366
487	732	149326
488	733	149310
489	735	149327
490	736	149297
491	737	149237
492	739	149189
493	740	149166
494	741	149100
495	742	148927
496	744	148957
497	745	148916
498	745	148713
499	747	148665
500	748	148622
501	749	148615
502	751	148610
503	752	148586
504	754	148590
505	754	148369
506	756	148361
507	757	148404
508	758	148187
509	759	148185
510	761	148182
511	763	148398
512	765	148425
513	766	148382
514	767	148180
515	768	148224
516	770	148221
517	771	148147
518	772	148150
519	774	148140
520	775	148158
521	777	148164
522	779	148173
523	780	148129
524	781	148077
525	783	148110
526	784	148104
527	786	148104
528	787	148062
529	788	148021
530	790	148021
531	791	148007
532	793	148020
533	794	147930
534	795	147898
535	797	147908
536	798	147909
537	799	147854
538	801	147848
539	803	147929
540	804	147940
541	806	148037
542	807	147866
543	807	147706
544	809	147720
545	810	147690
546	812	147704
547	814	147746
548	815	147712
549	816	147704
550	818	147754
551	820	147794
552	821	147789
553	823	147849
554	825	147925
555	826	147900
556	828	147857
557	829	147852
558	831	147890
559	832	147906
560	834	147858
561	835	147827
562	836	147828
563	838	147905
564	840	147885
565	841	147872
566	842	147831
567	844	147844
568	846	147855
569	847	147818
570	849	147862
571	850	147865
572	852	147855
573	852	147681
574	854	147686
575	855	147645
576	856	147644
577	858	147613
578	859	147615
579	860	147576
580	861	147409
581	862	147379
582	864	147364
583	865	147382
584	867	147358
585	868	147399
586	870	147400
587	871	147404
588	873	147382
589	874	147400
590	876	147387
591	877	147407
592	879	147374
593	880	147328
594	881	147350
595	883	147349
596	885	147376
597	886	147341
598	887	147342
599	888	147159
600	889	147181
601	891	147206
602	892	147183
603	894	147143
604	895	147123
605	897	147130
606	898	147139
607	900	147155
608	900	146992
609	902	147003
610	903	147028
611	905	147024
612	906	146996
613	908	147008
614	909	146990
615	910	146964
616	912	146976
617	913	146943
618	915	146932
619	916	146969
620	918	146977
621	919	146956
622	921	146936
623	922	146955
624	924	146951
625	925	146947
626	926	146908
627	928	146958
628	930	146967
629	931	146990
630	933	146987
631	934	146943
632	936	146961
633	937	146967
634	939	146986
635	940	146998
636	942	147068
637	945	147180
638	946	147192
639	947	147170
640	949	147163
641	950	147178
642	952	147183
643	953	147146
644	955	147178
645	957	147194
646	958	147222
647	960	147224
648	961	147213
649	963	147237
650	965	147287
651	966	147282
652	967	147268
653	969	147254
654	970	147264
655	972	147281
656	973	147233
657	975	147235
658	976	147231
659	978	147261
660	979	147259
661	981	147242
662	982	147263
663	984	147279
664	986	147297
665	987	147268
666	988	147239
667	990	147218
668	991	147245
669	993	147223
670	994	147186
671	995	147167
672	997	147193
673	998	147189
674	1000	147166
675	1001	147149
676	1002	147121
677	1004	147113
678	1006	147159
679	1007	147089
680	1008	147075
681	1010	147086
682	1011	147108
683	1013	147143
684	1014	147117
685	1015	147088
686	1017	147135
687	1019	147161
688	1020	147137
689	1022	147127
690	1022	146991
691	1024	147044
692	1026	147030
693	1027	147018
694	1028	147003
695	1030	147034
696	1032	147057
697	1032	146914
698	1034	146892
699	1035	146884
700	1037	146923
701	1039	146966
702	1040	146948
703	1042	146970
704	1043	147022
705	1045	147065
706	1046	147037
707	1048	147022
708	1049	147005
709	1051	147026
710	1052	147019
711	1054	146999
712	1055	146995
713	1056	146974
714	1058	146981
715	1059	146981
716	1061	146962
717	1062	146935
718	1064	146971
719	1066	147000
720	1067	146988
721	1069	146995
722	1070	147006
723	1072	147004
724	1073	146997
725	1074	146962
726	1076	146960
727	1077	146991
728	1079	147005
729	1080	146993
730	1082	147023
731	1084	147065
732	1086	147120
733	1087	147096
734	1089	147118
735	1090	147138
736	1091	147015
737	1092	146994
738	1094	146994
739	1095	146996
740	1097	147038
741	1099	147076
742	1101	147107
743	1102	147088
744	1104	147101
745	1106	147161
746	1107	147161
747	1108	147144
748	1110	147146
749	1112	147172
750	1113	147159
751	1114	147138
752	1116	147113
753	1117	147089
754	1118	147092
755	1120	147088
756	1122	147110
757	1123	147094
758	1125	147099
759	1126	147133
760	1128	147108
761	1129	147103
762	1131	147108
763	1132	147119
764	1133	147096
765	1135	147096
766	1137	147129
767	1138	147116
768	1139	147097
769	1141	147094
770	1143	147107
771	1144	147144
772	1146	147122
773	1147	147110
774	1148	147100
775	1150	147090
776	1152	147184
777	1153	147173
778	1155	147167
779	1157	147200
780	1158	147207
781	1160	147179
782	1161	147169
783	1163	147183
784	1164	147197
785	1166	147198
786	1167	147183
787	1168	147115
788	1170	147140
789	1171	147171
790	1173	147180
791	1174	147171
792	1176	147199
793	1178	147222
794	1179	147226
795	1181	147223
796	1182	147204
797	1184	147236
798	1186	147261
799	1187	147241
800	1188	147213
801	1190	147218
802	1191	147234
803	1193	147243
804	1194	147230
805	1196	147253
806	1198	147294
807	1200	147320
808	1201	147292
809	1203	147319
810	1204	147336
811	1206	147354
812	1207	147335
813	1209	147325
814	1211	147399
815	1212	147393
816	1214	147405
817	1215	147384
818	1217	147458
819	1219	147460
820	1220	147456
821	1221	147432
822	1223	147420
823	1224	147429
824	1226	147443
825	1227	147437
826	1229	147453
827	1231	147501
828	1232	147484
829	1234	147482
830	1236	147538
831	1237	147554
832	1239	147570
833	1241	147561
834	1242	147565
835	1244	147565
836	1245	147568
837	1246	147559
838	1248	147531
839	1249	147544
840	1251	147547
841	1253	147566
842	1254	147540
843	1255	147540
844	1257	147543
845	1258	147548
846	1260	147524
847	1261	147515
848	1263	147507
849	1264	147535
850	1266	147557
851	1267	147554
852	1269	147574
853	1271	147600
854	1272	147595
855	1274	147605
856	1275	147593
857	1277	147579
858	1279	147649
859	1280	147652
860	1282	147656
861	1284	147686
862	1285	147685
863	1287	147672
864	1288	147654
865	1289	147660
866	1291	147656
